"Subject"		"Activity"		"Variable"		"Count"		"Average"
1		"LAYING"		"Mean"		1650		-0.896699261804485
1		"LAYING"		"SD"		1650		-0.466464695241624
1		"SITTING"		"Mean"		1551		-0.962531684925854
1		"SITTING"		"SD"		1551		-0.487488828495867
1		"STANDING"		"Mean"		1749		-0.986798479817038
1		"STANDING"		"SD"		1749		-0.516975248009769
1		"WALKING"		"Mean"		3135		-0.302551798992919
1		"WALKING"		"SD"		3135		-0.0838573459916048
1		"WALKING_DOWNSTAIRS"		"Mean"		1617		-0.263719603503896
1		"WALKING_DOWNSTAIRS"		"SD"		1617		-0.0349964672263018
1		"WALKING_UPSTAIRS"		"Mean"		1749		-0.428436196561521
1		"WALKING_UPSTAIRS"		"SD"		1749		-0.202237420225089
2		"LAYING"		"Mean"		1584		-0.980492348554293
2		"LAYING"		"SD"		1584		-0.50576115791339
2		"SITTING"		"Mean"		1518		-0.974113940790514
2		"SITTING"		"SD"		1518		-0.500610030441972
2		"STANDING"		"Mean"		1782		-0.970481596212121
2		"STANDING"		"SD"		1782		-0.509458925821768
2		"WALKING"		"Mean"		1947		-0.471518668508629
2		"WALKING"		"SD"		1947		-0.179377744257812
2		"WALKING_DOWNSTAIRS"		"Mean"		1551		-0.199973200120761
2		"WALKING_DOWNSTAIRS"		"SD"		1551		-0.0128498425231206
2		"WALKING_UPSTAIRS"		"Mean"		1584		-0.385997363253851
2		"WALKING_UPSTAIRS"		"SD"		1584		-0.155899912507109
3		"LAYING"		"Mean"		2046		-0.973555798352884
3		"LAYING"		"SD"		2046		-0.495139579001589
3		"SITTING"		"Mean"		1716		-0.936746787346154
3		"SITTING"		"SD"		1716		-0.478944112603013
3		"STANDING"		"Mean"		2013		-0.934573756328862
3		"STANDING"		"SD"		2013		-0.489562657161571
3		"WALKING"		"Mean"		1914		-0.450988754712889
3		"WALKING"		"SD"		1914		-0.184906847435204
3		"WALKING_DOWNSTAIRS"		"Mean"		1617		-0.35927889525865
3		"WALKING_DOWNSTAIRS"		"SD"		1617		-0.106137838485022
3		"WALKING_UPSTAIRS"		"Mean"		1947		-0.494763604117052
3		"WALKING_UPSTAIRS"		"SD"		1947		-0.221951531400878
4		"LAYING"		"Mean"		1782		-0.960841350255892
4		"LAYING"		"SD"		1782		-0.496494719070863
4		"SITTING"		"Mean"		1650		-0.951483705307273
4		"SITTING"		"SD"		1650		-0.484203136101009
4		"STANDING"		"Mean"		1848		-0.931971966691558
4		"STANDING"		"SD"		1848		-0.478668968631246
4		"WALKING"		"Mean"		1980		-0.556813870101975
4		"WALKING"		"SD"		1980		-0.227442395283293
4		"WALKING_DOWNSTAIRS"		"Mean"		1485		-0.430345489469064
4		"WALKING_DOWNSTAIRS"		"SD"		1485		-0.133335907452141
4		"WALKING_UPSTAIRS"		"Mean"		1716		-0.481670281281346
4		"WALKING_UPSTAIRS"		"SD"		1716		-0.201041619091582
5		"LAYING"		"Mean"		1716		-0.97277492210373
5		"LAYING"		"SD"		1716		-0.505395795608001
5		"SITTING"		"Mean"		1452		-0.952403047947934
5		"SITTING"		"SD"		1452		-0.483921969559625
5		"STANDING"		"Mean"		1848		-0.923529957596861
5		"STANDING"		"SD"		1848		-0.47296792859664
5		"WALKING"		"Mean"		1848		-0.426550893998593
5		"WALKING"		"SD"		1848		-0.155142177775656
5		"WALKING_DOWNSTAIRS"		"Mean"		1551		-0.256359233626873
5		"WALKING_DOWNSTAIRS"		"SD"		1551		-0.0430847556457143
5		"WALKING_UPSTAIRS"		"Mean"		1551		-0.359295474612701
5		"WALKING_UPSTAIRS"		"SD"		1551		-0.129397913853791
6		"LAYING"		"Mean"		1881		-0.938894773891707
6		"LAYING"		"SD"		1881		-0.490068230923604
6		"SITTING"		"Mean"		1815		-0.949510577900826
6		"SITTING"		"SD"		1815		-0.483739868346573
6		"STANDING"		"Mean"		1881		-0.950810498112706
6		"STANDING"		"SD"		1881		-0.49552886184261
6		"WALKING"		"Mean"		1881		-0.359321371006842
6		"WALKING"		"SD"		1881		-0.102949895258251
6		"WALKING_DOWNSTAIRS"		"Mean"		1584		-0.0757123543931742
6		"WALKING_DOWNSTAIRS"		"SD"		1584		0.0741041451560101
6		"WALKING_UPSTAIRS"		"Mean"		1683		-0.290928021342602
6		"WALKING_UPSTAIRS"		"SD"		1683		-0.0890416065711943
7		"LAYING"		"Mean"		1716		-0.951894384892075
7		"LAYING"		"SD"		1716		-0.495819744578019
7		"SITTING"		"Mean"		1584		-0.939410998802399
7		"SITTING"		"SD"		1584		-0.485297754668864
7		"STANDING"		"Mean"		1749		-0.954527409782733
7		"STANDING"		"SD"		1749		-0.49712229567251
7		"WALKING"		"Mean"		1881		-0.286082417455657
7		"WALKING"		"SD"		1881		-0.0830516234370202
7		"WALKING_DOWNSTAIRS"		"Mean"		1551		-0.267075771251554
7		"WALKING_DOWNSTAIRS"		"SD"		1551		-0.0622407365915023
7		"WALKING_UPSTAIRS"		"Mean"		1683		-0.493867277426738
7		"WALKING_UPSTAIRS"		"SD"		1683		-0.231834766139828
8		"LAYING"		"Mean"		1782		-0.953251137141975
8		"LAYING"		"SD"		1782		-0.491561903564916
8		"SITTING"		"Mean"		1518		-0.965444231379447
8		"SITTING"		"SD"		1518		-0.489469650810414
8		"STANDING"		"Mean"		1782		-0.966665007124242
8		"STANDING"		"SD"		1782		-0.503983250586588
8		"WALKING"		"Mean"		1584		-0.258282654667929
8		"WALKING"		"SD"		1584		-0.0628541721995309
8		"WALKING_DOWNSTAIRS"		"Mean"		1254		-0.088038872473445
8		"WALKING_DOWNSTAIRS"		"SD"		1254		0.085966626079681
8		"WALKING_UPSTAIRS"		"Mean"		1353		-0.243298670404065
8		"WALKING_UPSTAIRS"		"SD"		1353		-0.0504608937056763
9		"LAYING"		"Mean"		1650		-0.944242142015576
9		"LAYING"		"SD"		1650		-0.508050878962618
9		"SITTING"		"Mean"		1650		-0.928220936999515
9		"SITTING"		"SD"		1650		-0.480826574001151
9		"STANDING"		"Mean"		1485		-0.950814844363636
9		"STANDING"		"SD"		1485		-0.488015383285394
9		"WALKING"		"Mean"		1716		-0.420159775816509
9		"WALKING"		"SD"		1716		-0.153452675501248
9		"WALKING_DOWNSTAIRS"		"Mean"		1386		-0.264963539122641
9		"WALKING_DOWNSTAIRS"		"SD"		1386		-0.0601334227732157
9		"WALKING_UPSTAIRS"		"Mean"		1617		-0.490629371223921
9		"WALKING_UPSTAIRS"		"SD"		1617		-0.214015127123996
10		"LAYING"		"Mean"		1914		-0.961084978136364
10		"LAYING"		"SD"		1914		-0.541823106038124
10		"SITTING"		"Mean"		1782		-0.971721957250842
10		"SITTING"		"SD"		1782		-0.502534954340297
10		"STANDING"		"Mean"		1452		-0.953572276081267
10		"STANDING"		"SD"		1452		-0.48951318794854
10		"WALKING"		"Mean"		1749		-0.330444040259886
10		"WALKING"		"SD"		1749		-0.0841881981430086
10		"WALKING_DOWNSTAIRS"		"Mean"		1254		-0.217214895073397
10		"WALKING_DOWNSTAIRS"		"SD"		1254		-0.000249750597424242
10		"WALKING_UPSTAIRS"		"Mean"		1551		-0.33138123899396
10		"WALKING_UPSTAIRS"		"SD"		1551		-0.0979337190150181
11		"LAYING"		"Mean"		1881		-0.977547759728868
11		"LAYING"		"SD"		1881		-0.50095320287773
11		"SITTING"		"Mean"		1749		-0.969903732115495
11		"SITTING"		"SD"		1749		-0.490523100806718
11		"STANDING"		"Mean"		1551		-0.985657370773694
11		"STANDING"		"SD"		1551		-0.509348992988923
11		"WALKING"		"Mean"		1947		-0.535503995110734
11		"WALKING"		"SD"		1947		-0.222529921708447
11		"WALKING_DOWNSTAIRS"		"Mean"		1518		-0.343943666544796
11		"WALKING_DOWNSTAIRS"		"SD"		1518		-0.0974925076394664
11		"WALKING_UPSTAIRS"		"Mean"		1782		-0.50198701766128
11		"WALKING_UPSTAIRS"		"SD"		1782		-0.239938669371902
12		"LAYING"		"Mean"		1980		-0.957088102540404
12		"LAYING"		"SD"		1980		-0.498124792032077
12		"SITTING"		"Mean"		1683		-0.963695997290553
12		"SITTING"		"SD"		1683		-0.492143016717083
12		"STANDING"		"Mean"		2013		-0.944561812874814
12		"STANDING"		"SD"		2013		-0.49414119824769
12		"WALKING"		"Mean"		1650		-0.389277124734909
12		"WALKING"		"SD"		1650		-0.122791874169958
12		"WALKING_DOWNSTAIRS"		"Mean"		1518		-0.295167216690606
12		"WALKING_DOWNSTAIRS"		"SD"		1518		-0.0633883264400636
12		"WALKING_UPSTAIRS"		"Mean"		1716		-0.494017099181002
12		"WALKING_UPSTAIRS"		"SD"		1716		-0.213995345759266
13		"LAYING"		"Mean"		2046		-0.967352157609971
13		"LAYING"		"SD"		2046		-0.494984663416783
13		"SITTING"		"Mean"		1617		-0.971614675209029
13		"SITTING"		"SD"		1617		-0.498864171673993
13		"STANDING"		"Mean"		1881		-0.973488324742159
13		"STANDING"		"SD"		1881		-0.511294929068831
13		"WALKING"		"Mean"		1881		-0.322358364868426
13		"WALKING"		"SD"		1881		-0.0996192234656832
13		"WALKING_DOWNSTAIRS"		"Mean"		1551		-0.283386205699099
13		"WALKING_DOWNSTAIRS"		"SD"		1551		-0.0582178556565087
13		"WALKING_UPSTAIRS"		"Mean"		1815		-0.454771797975796
13		"WALKING_UPSTAIRS"		"SD"		1815		-0.206510439531774
14		"LAYING"		"Mean"		1683		-0.934842463238265
14		"LAYING"		"SD"		1683		-0.478718255922756
14		"SITTING"		"Mean"		1782		-0.960128611305275
14		"SITTING"		"SD"		1782		-0.500429006908068
14		"STANDING"		"Mean"		1980		-0.955643634646465
14		"STANDING"		"SD"		1980		-0.511858205016753
14		"WALKING"		"Mean"		1947		-0.39895837100264
14		"WALKING"		"SD"		1947		-0.177740629970004
14		"WALKING_DOWNSTAIRS"		"Mean"		1485		-0.0451783638523098
14		"WALKING_DOWNSTAIRS"		"SD"		1485		0.0520165644020808
14		"WALKING_UPSTAIRS"		"Mean"		1782		-0.154654281147419
14		"WALKING_UPSTAIRS"		"SD"		1782		-0.0675839973893266
15		"LAYING"		"Mean"		2376		-0.962181718324916
15		"LAYING"		"SD"		2376		-0.503206390416014
15		"SITTING"		"Mean"		1947		-0.97025459222907
15		"SITTING"		"SD"		1947		-0.497422802402046
15		"STANDING"		"Mean"		1749		-0.966132857181246
15		"STANDING"		"SD"		1749		-0.501770733626754
15		"WALKING"		"Mean"		1782		-0.446391143626077
15		"WALKING"		"SD"		1782		-0.165837482937167
15		"WALKING_DOWNSTAIRS"		"Mean"		1386		-0.209767527583023
15		"WALKING_DOWNSTAIRS"		"SD"		1386		-0.018343557439798
15		"WALKING_UPSTAIRS"		"Mean"		1584		-0.421318509545473
15		"WALKING_UPSTAIRS"		"SD"		1584		-0.167364829544122
16		"LAYING"		"Mean"		2310		-0.974313487683983
16		"LAYING"		"SD"		2310		-0.512261230093331
16		"SITTING"		"Mean"		2277		-0.968810838932806
16		"SITTING"		"SD"		2277		-0.500715990291599
16		"STANDING"		"Mean"		2574		-0.977221575462315
16		"STANDING"		"SD"		2574		-0.511973313638373
16		"WALKING"		"Mean"		1683		-0.539749355518122
16		"WALKING"		"SD"		1683		-0.226528081859031
16		"WALKING_DOWNSTAIRS"		"Mean"		1551		-0.333898926802489
16		"WALKING_DOWNSTAIRS"		"SD"		1551		-0.097646379462392
16		"WALKING_UPSTAIRS"		"Mean"		1683		-0.518665903063102
16		"WALKING_UPSTAIRS"		"SD"		1683		-0.247318746084742
17		"LAYING"		"Mean"		2343		-0.969502280717029
17		"LAYING"		"SD"		2343		-0.493147100517735
17		"SITTING"		"Mean"		2112		-0.982201351581439
17		"SITTING"		"SD"		2112		-0.511807902533892
17		"STANDING"		"Mean"		2574		-0.98342571462704
17		"STANDING"		"SD"		2574		-0.523527623853675
17		"WALKING"		"Mean"		2013		-0.437683311620571
17		"WALKING"		"SD"		2013		-0.180876916238073
17		"WALKING_DOWNSTAIRS"		"Mean"		1518		-0.349846604199914
17		"WALKING_DOWNSTAIRS"		"SD"		1518		-0.117045048974242
17		"WALKING_UPSTAIRS"		"Mean"		1584		-0.424126942064918
17		"WALKING_UPSTAIRS"		"SD"		1584		-0.180887757725832
18		"LAYING"		"Mean"		2145		-0.987915725314685
18		"LAYING"		"SD"		2145		-0.504350354328079
